region,year,T2M,T2M_MAX,T2M_MIN,T2MDEW,T2MWET,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,WS2M,WS2M_MAX,WS2M_MIN,WD2M,PS,QV2M,GWETROOT,GWETTOP,GWETPROF,T2M_RANGE,PRECTOTCORR,total_precip_mm,avg_precip_mm,rainy_days,1 km monthly NDVI,1 km monthly EVI,1 km monthly VI Quality,1 km monthly red reflectance,1 km monthly NIR reflectance,1 km monthly blue reflectance,1 km monthly MIR reflectance
Ahafo,2019,-0.17412009728074362,-0.1876260350345307,-0.07827109014228341,0.1383581567607383,0.06946410925727477,0.16586023138922387,-0.4097120770263862,0.03844892338225639,-0.10134976579587836,-0.07115002753416061,-0.018182833083362843,-0.16531119610005485,0.3872754796357914,-0.9299978155885759,0.12778178445928304,-0.6353310974036667,-0.28418982896257083,-0.7766554279201147,-0.11474738997433782,0.08544027571150055,0.07345820631445728,0.07634573823125453,0.2031347773063982,0.8833429469681621,1.0392986226143521,0.20879687393038357,-0.35915171916420285,1.0399995801814435,0.2968784568206707,-0.5712605746285425
Ahafo,2020,-0.46510730888096585,-0.33456663827299454,-0.371286497991548,0.07411000059175689,-0.09838709868849083,0.23227253130254813,-0.5192151434681435,-0.027774959263283466,-0.16137568691898344,-0.16401973804545625,-0.08899901355962536,-0.20582164140956039,0.07948037075820165,-0.9166226218009231,0.06852844867590889,-0.1460969356061567,0.12459090541415736,-0.2689910288849694,-0.06844580717660376,0.31782190725074005,-0.07747548987648341,-0.0804572340623831,0.1664663317969021,0.7005658309857014,0.7258697235488976,0.2261090347860035,-0.20660834096110012,0.6974297942794765,0.5103399219577586,-0.5329000900071268
Ahafo,2021,-0.4744520528207634,-0.4816758021886241,-0.20691602398162745,0.3069618115893635,0.12216127853479074,0.4691128421889845,-0.42947644993844225,-0.059525668206877574,-0.12025122636924185,-0.28909687641771026,-0.2969620401375727,-0.25228723466657194,0.30393934427919483,-0.9604479199852567,0.3264838304265147,-0.15178225088585726,0.14798047976689666,-0.27448939013982004,-0.29106821064470073,0.2980471152637656,0.11996942858707754,0.12212772254065439,0.17868914696673413,1.060542570286793,1.2575121610156323,0.18622123525598347,-0.7190018174529565,1.0504219887054485,-0.21064169829413368,-0.7198598117540406
Ahafo,2022,-0.6073834232571093,-0.47784079389231393,-0.48132906609874393,0.11097709587629395,-0.11485695254213178,0.2983310311363587,-0.5597980727531419,-0.00857248575360923,-0.15545862147989614,-0.1994032430473449,-0.12369627952400862,-0.28033211391940577,-0.06398758866251092,-0.9673937971011813,0.073755086920152,-0.19405721125810613,0.12899136239767187,-0.3104816054452307,-0.1265258025894689,0.22185109454472451,0.040359948883179876,0.04036227415111696,0.10535225594774196,0.7460308823780486,0.8786955089516845,0.0755613814490317,-0.2738668218867892,0.891544429087357,0.33900545595604514,-0.6071606346118159
Ahafo,2023,-0.3777273767826314,-0.3906004196675546,-0.18029552110344368,0.23631972960143965,0.08943675620947987,0.36802140929173066,-0.6409282019795463,0.044528682593350556,-0.15809303392068333,-0.2227796899684622,-0.17260060470655336,-0.2545395302558902,0.06889374514909193,-0.9299257431257527,0.271306465368175,0.5529943694762,0.5644687847498969,0.44755983783005737,-0.228685524359196,0.5775932952334767,0.16533191356009133,0.16360590809631423,-0.029098710920410387,0.6847329180546664,0.8377558541179226,0.12847776460812652,0.18033577525827646,1.2081268182304499,0.9458404288176858,-0.4949076195671623
Ahafo,2024,0.11570142950237748,0.2281371521137803,-0.060622513721113304,0.10028681328555061,0.13855873373002273,-0.02258222708644625,-0.5836952291772097,-0.03383096127447068,-0.15119581029254278,0.15465451998024424,0.04876689188084741,0.13304072463165076,-0.09254115704276111,-0.9211689858934848,0.08015412816285823,-0.977168168843785,-0.618318061218099,-1.107034717613968,0.2310738886848024,-0.1661596339689262,0.0010065963262423927,-0.006759194722396111,-0.01687589575057837,0.5214725048258742,0.5844398552613078,-0.09444451075445486,0.2884395462117237,0.8783107434359873,1.0519935451354725,-0.5170324262813496
Ahafo,2025,0.03860745769274177,0.10439135757068536,-0.035178370391756024,0.13407641692922753,0.14312108124447667,0.08168476050373712,-0.7901005284092332,-0.9681481054598523,-1.3641864056506086,-0.013746455166220048,-0.06911908218102991,-0.11294133686945636,0.17218306850716006,-0.9234022481265399,0.1112875729923375,-0.9491922677602598,-0.5736279469936896,-1.0954731179076107,0.11010640948427519,0.03926817697268296,0.27558783172372453,0.2781761024661174,0.45981389587287086,0.5666313276896314,0.4783378025867404,-0.18484085628661343,0.15099004209813788,0.5687945668063176,0.867064740624215,-0.5598268443040504
Ashanti,2000,-0.007028846002073972,0.3246940335417616,-0.2581482846824356,-0.1716337542126505,-0.16756523918841754,-0.21949619088680264,-0.5322081556571417,0.03173188611571956,0.2890664594724005,0.45461356601529274,0.3495235862703621,0.20251383467321282,-0.05517916055470739,-0.942513616147905,-0.2745335868527005,-0.8215975318979291,-0.7579964604627001,-0.8921911801234699,0.42987065258289187,-0.36895749538779216,0.011654483816407052,0.011713818395570529,0.11868623613301325,0.5139736351803886,0.5970979121500515,0.6435343782809609,-0.20021242981047216,0.6366230287988656,0.11614044351950069,-0.36549179973069895
Ashanti,2001,-0.09379525935160103,0.15562619647298007,-0.24132110688872258,-0.11311914516024409,-0.14291417857391778,-0.10128507216348763,-0.3825378989036576,0.03272783715705516,-0.10613327864522915,0.6005227351684673,0.40034590968748135,0.36676901265347545,0.09570117027869406,-0.8872922404041699,-0.18877466433345388,-0.6361789934905092,-0.5945582060175899,-0.6926053797418698,0.2751386044169732,-0.2240834500846184,-0.07516286553360225,-0.07197926287253385,-0.09021278676957055,0.47158747693185393,0.4558308328576372,0.43819172852083343,-0.2920457157009741,0.3417395840102222,0.02541528588820551,-0.4060909092011351
Ashanti,2002,-0.10890888249096072,0.13238902350814977,-0.2486178717465659,-0.06990656720389143,-0.10685584677455755,-0.05759846448210105,-0.48837920794531037,-0.027506961376621914,-0.14400346276227302,0.43467221647577164,0.39246751966675536,0.12126128889270316,-0.03835024009178972,-0.875496039884942,-0.1279631111615425,-0.5904711026012847,-0.5034706942477096,-0.6404363631303137,0.2595187624866645,-0.17625108503920217,0.15992475171804763,0.15919621760866115,0.0931294407779099,0.6298833879375108,0.7053919506102709,0.35354595212470724,-0.34742667461448956,0.686345925757461,-0.0028894336440919064,-0.4256276644791903
